cosmo_name,smiles,inchi,cosmo_conf,source,exp_dielectric,T,source.1,polar,protic
ethylpropylether,CCCOCC,"InChI=1/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3",2,COSMObase,,,,,0
fluorobenzene,Fc1ccccc1,InChI=1/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm,5.465,20.0,,0.0,0
formamide,NC=O,"InChI=1/CH3NO/c2-1-3/h1H,(H2,2,3)/f/h2H2",1,COSMObase,111.0,20.0,,1.0,1
furfural,O=Cc1ccco1,InChI=1/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,2,COSMOtherm,42.1,20.0,,1.0,0
gamma-butyrolactone,O=C1CCCO1,InChI=1/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,1,COSMObase,39.0,20.0,,1.0,0
glycerol,OCC(O)CO,"InChI=1/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",29,COSMObase,46.53,20.0,,1.0,1
glycol,OCCO,"InChI=1/C2H6O2/c3-1-2-4/h3-4H,1-2H2",8,COSMObase,41.4,20.0,,1.0,1
h2o,O,InChI=1/H2O/h1H2,1,COSMOtherm,80.1,20.0,,1.0,1
hexafluorobenzene,Fc1c(F)c(F)c(F)c(F)c1F,InChI=1/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9,1,COSMOtherm,2.029,25.0,,0.0,0
hexamethylphosphoramide,CN(C)P(=O)(N(C)C)N(C)C,"InChI=1/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3",5,COSMObase,31.3,20.0,,1.0,0
hexane,CCCCCC,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",1,COSMOtherm,1.8865,20.0,,0.0,0
hexanedinitrile,N#CCCCCC#N,InChI=1/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,6,COSMOtherm,,,,,0
hexanedioicacid-bis(2-ethylhexyl)ester,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,"InChI=1/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3",13,COSMObase,,,,,0
hexanenitrile,CCCCCC#N,"InChI=1/C6H11N/c1-2-3-4-5-6-7/h2-5H2,1H3",2,COSMOtherm,17.26,25.0,,0.0,0
iodobenzene,Ic1ccccc1,InChI=1/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm,4.59,20.0,,0.0,0
iodoethane,CCI,"InChI=1/C2H5I/c1-2-3/h2H2,1H3",1,COSMOtherm,7.82,20.0,,0.0,0
isobutane,CC(C)C,"InChI=1/C4H10/c1-4(2)3/h4H,1-3H3",1,COSMObase,1.7518,22.0,,0.0,0
isobutanol,CC(C)CO,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",3,COSMObase,17.93,20.0,,0.0,1
isobutylbenzene,CC(C)Cc1ccccc1,"InChI=1/C10H14/c1-9(2)8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",1,COSMObase,2.318,20.0,,0.0,0
isopentanol,CC(C)CCO,"InChI=1/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",6,COSMOtherm,15.63,20.0,,0.0,1
isopropylacetate,CC(=O)OC(C)C,"InChI=1/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",4,COSMObase,,,,,0
isopropylamine,CC(C)N,"InChI=1/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",3,COSMObase,5.6268,20.0,,0.0,1
isopropylbenzene,CC(C)c1ccccc1,"InChI=1/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",1,COSMOtherm,2.381,20.0,,0.0,0
methanol,CO,"InChI=1/CH4O/c1-2/h2H,1H3",1,COSMOtherm,33.0,20.0,,1.0,1
methyl-t-butylether,COC(C)(C)C,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3",1,COSMObase,,,,,0
methyl-tert-amylether,CCC(C)(C)OC,"InChI=1/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",5,COSMObase,,,,,0
methylacetate,COC(C)=O,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3,2,COSMOtherm,7.07,15.0,,0.0,0
methylbutane,CCC(C)C,"InChI=1/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1,COSMOtherm,1.845,20.0,,0.0,0
methylbutyrate,CCCC(=O)OC,"InChI=1/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",3,COSMOtherm,,,,,0
methylcyclohexane,CC1CCCCC1,"InChI=1/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",1,COSMOtherm,2.024,20.0,,0.0,0
